id_camino,id_in_seq,current_state,goal_state,out_action,timesteps
9,0,"[0, 0, 1, 0, 0, 0]","[1677.4671842047671, -501.9662767122768, 2.6656904181138463, 0.08488227828435564, -0.10696552651683822, 0.0017551899622920025]",12,378.4146974946769
9,1,"[521.6991481966794, -36.3796854484542, 1.277150156224498, 0.23864948195191252, 0.18847543804666092, -0.043669766048718625]","[1677.4671842047671, -501.9662767122768, 2.6656904181138463, 0.08488227828435564, -0.10696552651683822, 0.0017551899622920025]",7,378.4146974946769
9,2,"[747.6956098814658, -258.4747469817822, 5.0829915470309865, 0.10164201284273593, -1.0388615780742743, -0.03312184331066182]","[1677.4671842047671, -501.9662767122768, 2.6656904181138463, 0.08488227828435564, -0.10696552651683822, 0.0017551899622920025]",1,378.4146974946769
10,0,"[0, 0, 1, 0, 0, 0]","[1808.9125140213812, -490.0505594412641, 2.285730177486401, 0.08902149488774523, -0.13222828176775478, -0.0011630899769570213]",13,378.4146974946769
10,1,"[468.4206584664301, -43.43202982021182, 1.1035292157937793, 0.2557114707116738, -0.0025439180856341352, -0.046480291421633034]","[1808.9125140213812, -490.0505594412641, 2.285730177486401, 0.08902149488774523, -0.13222828176775478, -0.0011630899769570213]",7,378.4146974946769
10,2,"[627.9762789079916, -209.1879174522828, 4.645280013208151, 0.1267649289232099, -1.0273037978470454, -0.04527191167632867]","[1808.9125140213812, -490.0505594412641, 2.285730177486401, 0.08902149488774523, -0.13222828176775478, -0.0011630899769570213]",1,378.4146974946769
10,3,"[1634.2789009191936, -466.61384344003676, 2.4908261033320813, 0.08665827180877686, -0.08079435449880565, 0.00044022754192077834]","[1808.9125140213812, -490.0505594412641, 2.285730177486401, 0.08902149488774523, -0.13222828176775478, -0.0011630899769570213]",1,378.4146974946769
11,0,"[0, 0, 1, 0, 0, 0]","[1876.3607615786048, -54.255296839979486, 1.5694094389822246, 0.06107708657712976, -0.006921638598251725, 0.0354542831666764]",16,378.4146974946769
11,1,"[855.4820158348386, 1.5888738691776723, 1.9347421324553293, 0.20327946863855656, 0.3590744756281868, -0.05523406628839869]","[1876.3607615786048, -54.255296839979486, 1.5694094389822246, 0.06107708657712976, -0.006921638598251725, 0.0354542831666764]",4,378.4146974946769
11,2,"[1350.0926869456403, -33.634466972953305, 1.4076076603671765, 0.16155459423469948, 0.035889798441119294, 0.0027442289492507666]","[1876.3607615786048, -54.255296839979486, 1.5694094389822246, 0.06107708657712976, -0.006921638598251725, 0.0354542831666764]",11,378.4146974946769
12,0,"[0, 0, 1, 0, 0, 0]","[1689.1949234738363, -256.29574092418363, 0.9029212689402499, 0.2528010518083354, -0.25088822961534885, -0.06449785458694832]",2,378.4146974946769
12,1,"[669.1997063306001, -95.64383125719326, 1.6894554012413938, 0.12209118068908624, -0.024539620129299368, -0.001610730136986043]","[1689.1949234738363, -256.29574092418363, 0.9029212689402499, 0.2528010518083354, -0.25088822961534885, -0.06449785458694832]",1,378.4146974946769
12,2,"[1549.409413475973, -282.55213108812467, 2.474605500875075, 0.08626274620052186, -0.16755826824657133, 0.00040278448171390417]","[1689.1949234738363, -256.29574092418363, 0.9029212689402499, 0.2528010518083354, -0.25088822961534885, -0.06449785458694832]",11,378.4146974946769
13,0,"[0, 0, 1, 0, 0, 0]","[1650.272520756789, -552.1406954828466, 2.78132694004093, 0.08392994386352942, -0.12730965201411126, 0.0025859542448000853]",4,378.4146974946769
13,1,"[495.67843612849117, -49.49751656684203, 1.3081845979602265, 0.164208140350529, 0.06230009573395152, 1.290015289318695e-05]","[1650.272520756789, -552.1406954828466, 2.78132694004093, 0.08392994386352942, -0.12730965201411126, 0.0025859542448000853]",21,378.4146974946769
