id_camino,id_in_seq,current_state,goal_state,out_action,timesteps
61,1,"[410.76508528711275, -42.194237803848566, 1.3272223170564035, 0.1639358357824234, 0.001368206476527653, 0.00046449963417074597]","[2081.5331634312965, -189.8422338168617, 1.1636112132052836, 0.18246532291420836, 0.06528474644744234, -0.0006571071163272514]",3,315.34558124556406
61,2,"[879.8861393822599, -89.26399865422881, 1.4616838832931174, 0.14508242076323263, 0.003216203470594689, -0.0007090986426682992]","[2081.5331634312965, -189.8422338168617, 1.1636112132052836, 0.18246532291420836, 0.06528474644744234, -0.0006571071163272514]",4,315.34558124556406
61,3,"[1294.5230046377062, -123.16747805727849, 1.308497449608767, 0.16427375595090188, 0.05347032975457466, 3.01342780110124e-06]","[2081.5331634312965, -189.8422338168617, 1.1636112132052836, 0.18246532291420836, 0.06528474644744234, -0.0006571071163272514]",4,315.34558124556406
61,4,"[1706.761987961892, -159.36960069917328, 1.3050940613335604, 0.1645130582209654, 0.036694053709875586, -0.0001285889293459447]","[2081.5331634312965, -189.8422338168617, 1.1636112132052836, 0.18246532291420836, 0.06528474644744234, -0.0006571071163272514]",5,315.34558124556406
62,0,"[0, 0, 1, 0, 0, 0]","[3068.3970574231125, -443.1552321714132, 1.3168600457014539, 0.15892765315341603, 0.30538759979018226, 0.0012995590070472793]",3,315.34558124556406
62,1,"[467.51084210168455, -52.85735936140974, 1.3962657841042436, 0.1472180201690868, 0.014903835526010675, -0.0022125163850580344]","[3068.3970574231125, -443.1552321714132, 1.3168600457014539, 0.15892765315341603, 0.30538759979018226, 0.0012995590070472793]",4,315.34558124556406
62,2,"[881.3909271559311, -87.82787195861813, 1.3092729144579214, 0.16430310671359402, 0.04637810442928506, 1.136390374434336e-05]","[3068.3970574231125, -443.1552321714132, 1.3168600457014539, 0.15892765315341603, 0.30538759979018226, 0.0012995590070472793]",3,315.34558124556406
62,3,"[1348.9853961632618, -134.94630291550274, 1.4596147988877795, 0.14512092465834006, 0.011308664903394649, -0.0007481804508686139]","[3068.3970574231125, -443.1552321714132, 1.3168600457014539, 0.15892765315341603, 0.30538759979018226, 0.0012995590070472793]",1,315.34558124556406
62,4,"[2075.5053122642635, -297.9304545232001, 2.334676291361892, 0.08793497932834933, -0.17550126533343288, -0.0006983559169647673]","[3068.3970574231125, -443.1552321714132, 1.3168600457014539, 0.15892765315341603, 0.30538759979018226, 0.0012995590070472793]",1,315.34558124556406
62,5,"[2827.028461500267, -440.7080894746848, 2.432346848357679, 0.08687930653964827, -0.15278697734144625, 5.386241580242707e-05]","[3068.3970574231125, -443.1552321714132, 1.3168600457014539, 0.15892765315341603, 0.30538759979018226, 0.0012995590070472793]",4,315.34558124556406
