id_camino,id_in_seq,current_state,goal_state,out_action,timesteps
618,0,"[0, 0, 1, 0, 0, 0]","[1632.1453074795904, -133.09423807360199, 1.289824540241566, 0.1253670964674399, 0.22106569676443386, -0.011411883061215704]",4,378.4146974946769
618,1,"[495.67843612849117, -49.49751656684203, 1.3081845979602265, 0.164208140350529, 0.06230009573395152, 1.290015289318695e-05]","[1632.1453074795904, -133.09423807360199, 1.289824540241566, 0.1253670964674399, 0.22106569676443386, -0.011411883061215704]",6,378.4146974946769
618,2,"[920.8659087271426, -84.00217019662409, 1.1006348033693232, 0.1983733284959621, 0.0774135372517683, -0.0003249291834651672]","[1632.1453074795904, -133.09423807360199, 1.289824540241566, 0.1253670964674399, 0.22106569676443386, -0.011411883061215704]",6,378.4146974946769
618,3,"[1341.2576651200768, -121.37403752394177, 1.1014350244836801, 0.19765830163275283, 0.08965179964423528, -9.042497155288668e-06]","[1632.1453074795904, -133.09423807360199, 1.289824540241566, 0.1253670964674399, 0.22106569676443386, -0.011411883061215704]",10,378.4146974946769
619,0,"[0, 0, 1, 0, 0, 0]","[1984.4297243063704, -212.61146167844873, 1.5045619276498985, 0.1438347268711379, 0.009443517877530595, 0.0002479226400372663]",3,378.4146974946769
619,1,"[559.5548653512201, -64.43389144133145, 1.5469528870308702, 0.14278518106604685, -0.026724926328013165, 0.0011418132414958686]","[1984.4297243063704, -212.61146167844873, 1.5045619276498985, 0.1438347268711379, 0.009443517877530595, 0.0002479226400372663]",2,378.4146974946769
619,2,"[1231.7643273755248, -146.53702344771975, 1.762262422161831, 0.12032242136301244, -0.040624351635795, -0.0004770326751461017]","[1984.4297243063704, -212.61146167844873, 1.5045619276498985, 0.1438347268711379, 0.009443517877530595, 0.0002479226400372663]",3,378.4146974946769
619,3,"[1798.1830572264605, -194.3930250518833, 1.4707026198710444, 0.14475758190538224, 0.019344883572248794, -0.0004904199726431748]","[1984.4297243063704, -212.61146167844873, 1.5045619276498985, 0.1438347268711379, 0.009443517877530595, 0.0002479226400372663]",3,378.4146974946769
620,0,"[0, 0, 1, 0, 0, 0]","[1683.8910886143321, -36.99374274519596, 1.762092165776759, 0.0420796926788149, 0.1011548476745582, 0.019899881838234643]",3,378.4146974946769
620,1,"[559.3034116464789, -64.74060666287147, 1.5558269942118328, 0.14252264743191032, -0.0318765805639669, 0.0013099972286478513]","[1683.8910886143321, -36.99374274519596, 1.762092165776759, 0.0420796926788149, 0.1011548476745582, 0.019899881838234643]",17,378.4146974946769
620,2,"[1246.9423327092904, -39.004104776180725, 1.9745286673919282, 0.2515903701328047, -0.036573074955951315, -0.036485666239433376]","[1683.8910886143321, -36.99374274519596, 1.762092165776759, 0.0420796926788149, 0.1011548476745582, 0.019899881838234643]",10,378.4146974946769
621,0,"[0, 0, 1, 0, 0, 0]","[2028.4191459190586, 142.23569075396682, 1.2532780082173953, 0.03263887199061225, 0.24652699425922675, 0.010296975773286638]",10,378.4146974946769
621,1,"[658.6005474809942, -28.942159302772783, 1.7962971987183782, 0.23170671604946735, -0.17426008521119346, -0.039197141901621]","[2028.4191459190586, 142.23569075396682, 1.2532780082173953, 0.03263887199061225, 0.24652699425922675, 0.010296975773286638]",23,378.4146974946769
621,2,"[1540.8889103958572, 84.52444262509256, 1.4670865565569595, 0.2305438563993205, 0.4077530146214959, -0.03559112450146883]","[2028.4191459190586, 142.23569075396682, 1.2532780082173953, 0.03263887199061225, 0.24652699425922675, 0.010296975773286638]",23,378.4146974946769
622,0,"[0, 0, 1, 0, 0, 0]","[2172.560546059747, -425.44338468140495, 1.632715565570946, 0.12366494611198688, -0.025809477067398674, -0.0025362180551964197]",19,378.4146974946769
622,1,"[536.490924652522, -13.452888479152216, 1.2738308217368122, 0.257413267266789, 0.6304461106547767, -0.028764054625713804]","[2172.560546059747, -425.44338468140495, 1.632715565570946, 0.12366494611198688, -0.025809477067398674, -0.0025362180551964197]",14,378.4146974946769
622,2,"[660.3665443781821, -117.63405832826773, 4.184936792889835, 0.11035365144719528, -1.0373346821740104, -0.04937558265417865]","[2172.560546059747, -425.44338468140495, 1.632715565570946, 0.12366494611198688, -0.025809477067398674, -0.0025362180551964197]",1,378.4146974946769
622,3,"[1658.1082335919934, -386.4396967285174, 2.5234118399671317, 0.08631102669107518, -0.08728478128480634, 0.0007054401999485204]","[2172.560546059747, -425.44338468140495, 1.632715565570946, 0.12366494611198688, -0.025809477067398674, -0.0025362180551964197]",2,378.4146974946769
623,0,"[0, 0, 1, 0, 0, 0]","[2089.048828688013, -42.815105857880226, 1.1997289258008292, 0.1808830927872043, 0.08989367373747141, 0.0007691341316506478]",9,378.4146974946769
623,1,"[830.3916084985825, -45.941279781909316, 1.9684854398653195, 0.21399057430329113, 0.22171397444712634, -0.04385214524694723]","[2089.048828688013, -42.815105857880226, 1.1997289258008292, 0.1808830927872043, 0.08989367373747141, 0.0007691341316506478]",17,378.4146974946769
623,2,"[1520.2862853174777, -0.04870796348582526, 1.6247614514496092, 0.24591061826887367, 0.2407263643683962, -0.03772279612408115]","[2089.048828688013, -42.815105857880226, 1.1997289258008292, 0.1808830927872043, 0.08989367373747141, 0.0007691341316506478]",5,378.4146974946769
623,3,"[1976.1399128931598, -31.705814177807877, 1.1229525927029058, 0.18388746685621285, 0.1004646531111651, -0.0020116181468221943]","[2089.048828688013, -42.815105857880226, 1.1997289258008292, 0.1808830927872043, 0.08989367373747141, 0.0007691341316506478]",5,378.4146974946769
624,0,"[0, 0, 1, 0, 0, 0]","[2044.5291917891475, -231.56208969054518, 1.3222979506259567, 0.16398150410301504, -0.020045532640522275, 0.00023524014050722345]",2,378.4146974946769
624,1,"[669.2287603240479, -95.75193694986872, 1.6797456046651493, 0.12236049247733556, -0.021983999122508584, -0.0017606134186559596]","[2044.5291917891475, -231.56208969054518, 1.3222979506259567, 0.16398150410301504, -0.020045532640522275, 0.00023524014050722345]",2,378.4146974946769
624,2,"[1341.1819870116638, -174.7395289260939, 1.7792229686063885, 0.11995453200902928, -0.0416263821905009, -0.00021851824618996014]","[2044.5291917891475, -231.56208969054518, 1.3222979506259567, 0.16398150410301504, -0.020045532640522275, 0.00023524014050722345]",3,378.4146974946769
624,3,"[1907.8788584139047, -222.2459254371183, 1.4647446786887452, 0.1449517665386054, 0.023522264481108442, -0.0006040777151573152]","[2044.5291917891475, -231.56208969054518, 1.3222979506259567, 0.16398150410301504, -0.020045532640522275, 0.00023524014050722345]",4,378.4146974946769
625,0,"[0, 0, 1, 0, 0, 0]","[2041.3400956965609, -398.44586796301337, 1.773338262974982, 0.11915560562419437, -0.17214799112012286, -0.00018000377667947034]",1,378.4146974946769
625,1,"[871.6584082737479, -218.96540110494502, 2.5382788578932645, 0.08544384351349288, -0.18326253989865432, 0.0009103407834252284]","[2041.3400956965609, -398.44586796301337, 1.773338262974982, 0.11915560562419437, -0.17214799112012286, -0.00018000377667947034]",1,378.4146974946769
625,2,"[1777.5969112914088, -383.9561637862182, 2.4238382450755775, 0.08706895214097367, -0.14196386366838945, -2.6537832646002247e-05]","[2041.3400956965609, -398.44586796301337, 1.773338262974982, 0.11915560562419437, -0.17214799112012286, -0.00018000377667947034]",2,378.4146974946769
626,0,"[0, 0, 1, 0, 0, 0]","[2104.440611463075, 160.73806853023135, 2.35178431734105, 0.046638843053081566, -0.01772032059824236, 0.03113025413691128]",11,378.4146974946769
626,1,"[583.5206628010139, -39.835453272202415, 1.9448547861504741, 0.2518164673418514, 0.13714594843017514, -0.03187867743171505]","[2104.440611463075, 160.73806853023135, 2.35178431734105, 0.046638843053081566, -0.01772032059824236, 0.03113025413691128]",23,378.4146974946769
626,2,"[1459.5029131939123, 78.97835420800001, 2.0962018729058096, 0.23285331578878618, 0.36947954167874414, -0.03331417065139348]","[2104.440611463075, 160.73806853023135, 2.35178431734105, 0.046638843053081566, -0.01772032059824236, 0.03113025413691128]",23,378.4146974946769
627,0,"[0, 0, 1, 0, 0, 0]","[2089.0976678421057, -525.535068360772, 2.491073231129385, 0.08619492962007744, -0.15472805410244433, 0.0005125267864710527]",13,378.4146974946769
627,1,"[468.21331966279035, -40.67034071818943, 1.0192084144804674, 0.2773368091246156, 0.01200498771286827, -0.0389781025231136]","[2089.0976678421057, -525.535068360772, 2.491073231129385, 0.08619492962007744, -0.15472805410244433, 0.0005125267864710527]",14,378.4146974946769
627,2,"[600.5306525232057, -180.05050343927834, 4.603691147050477, 0.1551306651206115, -1.015762684344966, -0.06408809357817703]","[2089.0976678421057, -525.535068360772, 2.491073231129385, 0.08619492962007744, -0.15472805410244433, 0.0005125267864710527]",1,378.4146974946769
627,3,"[1606.0198111612358, -439.3978809538147, 2.4938991834698827, 0.08666108275760831, -0.07908953819320796, 0.00047639436110089224]","[2089.0976678421057, -525.535068360772, 2.491073231129385, 0.08619492962007744, -0.15472805410244433, 0.0005125267864710527]",1,378.4146974946769
628,0,"[0, 0, 1, 0, 0, 0]","[1671.1984175018385, 50.14399034957701, 2.252590096263172, 0.11347525328739799, -0.1489360119578385, 0.006181781633982752]",11,378.4146974946769
628,1,"[583.5206628010139, -39.835453272202415, 1.9448547861504741, 0.2518164673418514, 0.13714594843017514, -0.03187867743171505]","[1671.1984175018385, 50.14399034957701, 2.252590096263172, 0.11347525328739799, -0.1489360119578385, 0.006181781633982752]",23,378.4146974946769
628,2,"[1459.5029131939123, 78.97835420800001, 2.0962018729058096, 0.23285331578878618, 0.36947954167874414, -0.03331417065139348]","[1671.1984175018385, 50.14399034957701, 2.252590096263172, 0.11347525328739799, -0.1489360119578385, 0.006181781633982752]",2,378.4146974946769
629,0,"[0, 0, 1, 0, 0, 0]","[1987.5300457773312, 112.68393242808607, 1.3524430835066041, 0.12064841601824275, -0.015426529497776707, -0.024650127576104495]",18,378.4146974946769
629,1,"[590.4721796253802, -32.23335163445746, 2.5031861656364764, 0.28574076322874414, 0.20170439582297653, -0.02645375477599658]","[1987.5300457773312, 112.68393242808607, 1.3524430835066041, 0.12064841601824275, -0.015426529497776707, -0.024650127576104495]",22,378.4146974946769
629,2,"[1792.9638956937945, 58.04946902842299, 3.2762143869631144, 0.22784341875166908, 0.09857960161334733, -0.04493573009858829]","[1987.5300457773312, 112.68393242808607, 1.3524430835066041, 0.12064841601824275, -0.015426529497776707, -0.024650127576104495]",9,378.4146974946769
630,0,"[0, 0, 1, 0, 0, 0]","[2108.5634486117556, 84.83496394914505, 0.9834538612533097, 0.25670276290163774, 0.1864545807482471, -0.04120687896475097]",16,378.4146974946769
630,1,"[857.6037520848663, 6.86637258054445, 1.9139369251948164, 0.2267925089939048, 0.42169141558064904, -0.04120994272701335]","[2108.5634486117556, 84.83496394914505, 0.9834538612533097, 0.25670276290163774, 0.1864545807482471, -0.04120687896475097]",16,378.4146974946769
630,2,"[1694.1348249505165, 34.386855386690456, 2.493768665056973, 0.2370574526748176, 0.290792248489845, -0.04193841320355629]","[2108.5634486117556, 84.83496394914505, 0.9834538612533097, 0.25670276290163774, 0.1864545807482471, -0.04120687896475097]",17,378.4146974946769
631,0,"[0, 0, 1, 0, 0, 0]","[2219.047870089229, -384.31059202501655, 1.875817886558779, 0.19408219765065593, 0.5170834727319569, -0.004543757775720044]",2,378.4146974946769
631,1,"[669.2287603240479, -95.75193694986872, 1.6797456046651493, 0.12236049247733556, -0.021983999122508584, -0.0017606134186559596]","[2219.047870089229, -384.31059202501655, 1.875817886558779, 0.19408219765065593, 0.5170834727319569, -0.004543757775720044]",6,378.4146974946769
631,2,"[1110.6245978884704, -126.63510556768352, 1.1323633746895339, 0.19482667379977275, 0.13387949189766638, 0.0022414286250827557]","[2219.047870089229, -384.31059202501655, 1.875817886558779, 0.19408219765065593, 0.5170834727319569, -0.004543757775720044]",7,378.4146974946769
631,3,"[1283.8912930478916, -298.1769357653626, 4.7121595834265655, 0.11519656038946449, -1.0238917898969453, -0.046934411837223224]","[2219.047870089229, -384.31059202501655, 1.875817886558779, 0.19408219765065593, 0.5170834727319569, -0.004543757775720044]",2,378.4146974946769
631,4,"[2047.4756238862508, -411.98944993956013, 2.1409006678059415, 0.11426937814333157, -0.13879050480200575, 0.00479485162795075]","[2219.047870089229, -384.31059202501655, 1.875817886558779, 0.19408219765065593, 0.5170834727319569, -0.004543757775720044]",24,378.4146974946769
632,0,"[0, 0, 1, 0, 0, 0]","[2017.5558635726547, -81.28537082688288, 1.1517396040433412, 0.17053121495038787, -0.1435276821351263, -0.005491243434875825]",4,378.4146974946769
632,1,"[495.9651783486855, -49.624823236903964, 1.3078058336710534, 0.16424410515379131, 0.06882998138032456, 5.6277848749595606e-05]","[2017.5558635726547, -81.28537082688288, 1.1517396040433412, 0.17053121495038787, -0.1435276821351263, -0.005491243434875825]",6,378.4146974946769
632,2,"[921.9791746964555, -84.05413610574617, 1.0891286776182187, 0.2001709316897263, 0.08177928579173174, -0.001659794819705095]","[2017.5558635726547, -81.28537082688288, 1.1517396040433412, 0.17053121495038787, -0.1435276821351263, -0.005491243434875825]",16,378.4146974946769
632,3,"[1779.909873663929, -73.36498124747193, 1.93668744324603, 0.22737909300445452, 0.40758098445604574, -0.041297054551744955]","[2017.5558635726547, -81.28537082688288, 1.1517396040433412, 0.17053121495038787, -0.1435276821351263, -0.005491243434875825]",4,378.4146974946769
633,0,"[0, 0, 1, 0, 0, 0]","[2055.2960428106508, -445.8672381841707, 2.4595363071631113, 0.0864052036382834, -0.16976596494440663, 0.0002862799390963019]",19,378.4146974946769
633,1,"[536.490924652522, -13.452888479152216, 1.2738308217368122, 0.257413267266789, 0.6304461106547767, -0.028764054625713804]","[2055.2960428106508, -445.8672381841707, 2.4595363071631113, 0.0864052036382834, -0.16976596494440663, 0.0002862799390963019]",7,378.4146974946769
633,2,"[650.426650034844, -105.40756948661617, 3.8162040380140625, 0.12294226554181012, -1.0149703344128056, -0.050269509115321624]","[2055.2960428106508, -445.8672381841707, 2.4595363071631113, 0.0864052036382834, -0.16976596494440663, 0.0002862799390963019]",1,378.4146974946769
633,3,"[1640.8032341474054, -375.1290563440438, 2.539209333189606, 0.08611373646788052, -0.09453962592012173, 0.0008287820842881026]","[2055.2960428106508, -445.8672381841707, 2.4595363071631113, 0.0864052036382834, -0.16976596494440663, 0.0002862799390963019]",1,378.4146974946769
634,0,"[0, 0, 1, 0, 0, 0]","[1844.8262859871977, -93.14451284901956, 1.6313045014206806, 0.18279892249902321, 0.24357754769800802, -0.03333493607706143]",9,378.4146974946769
634,1,"[830.3916084985825, -45.941279781909316, 1.9684854398653195, 0.21399057430329113, 0.22171397444712634, -0.04385214524694723]","[1844.8262859871977, -93.14451284901956, 1.6313045014206806, 0.18279892249902321, 0.24357754769800802, -0.03333493607706143]",6,378.4146974946769
634,2,"[1276.939565909775, -73.88379602835266, 1.1785621159499742, 0.1931668337736995, 0.15652197034129603, 0.004227923393352272]","[1844.8262859871977, -93.14451284901956, 1.6313045014206806, 0.18279892249902321, 0.24357754769800802, -0.03333493607706143]",10,378.4146974946769
635,0,"[0, 0, 1, 0, 0, 0]","[2057.70633241632, -446.3676981180281, 2.460820083561816, 0.08639349080131523, -0.1694748436568776, 0.00029591499607934014]",19,378.4146974946769
635,1,"[536.490924652522, -13.452888479152216, 1.2738308217368122, 0.257413267266789, 0.6304461106547767, -0.028764054625713804]","[2057.70633241632, -446.3676981180281, 2.460820083561816, 0.08639349080131523, -0.1694748436568776, 0.00029591499607934014]",7,378.4146974946769
635,2,"[650.426650034844, -105.40756948661617, 3.8162040380140625, 0.12294226554181012, -1.0149703344128056, -0.050269509115321624]","[2057.70633241632, -446.3676981180281, 2.460820083561816, 0.08639349080131523, -0.1694748436568776, 0.00029591499607934014]",1,378.4146974946769
635,3,"[1640.8032341474054, -375.1290563440438, 2.539209333189606, 0.08611373646788052, -0.09453962592012173, 0.0008287820842881026]","[2057.70633241632, -446.3676981180281, 2.460820083561816, 0.08639349080131523, -0.1694748436568776, 0.00029591499607934014]",1,378.4146974946769
636,0,"[0, 0, 1, 0, 0, 0]","[1899.047100687161, -221.59885765852067, 1.4731422933409983, 0.14469566972191733, 0.026581337342008807, -0.00040902318811209107]",2,378.4146974946769
636,1,"[669.2287603240479, -95.75193694986872, 1.6797456046651493, 0.12236049247733556, -0.021983999122508584, -0.0017606134186559596]","[1899.047100687161, -221.59885765852067, 1.4731422933409983, 0.14469566972191733, 0.026581337342008807, -0.00040902318811209107]",2,378.4146974946769
636,2,"[1341.1819870116638, -174.7395289260939, 1.7792229686063885, 0.11995453200902928, -0.0416263821905009, -0.00021851824618996014]","[1899.047100687161, -221.59885765852067, 1.4731422933409983, 0.14469566972191733, 0.026581337342008807, -0.00040902318811209107]",3,378.4146974946769
637,0,"[0, 0, 1, 0, 0, 0]","[2040.2429221054683, -65.55231931602991, 1.22616690702789, 0.23755027409148008, 0.1316848726388373, -0.042867599140684894]",6,378.4146974946769
637,1,"[424.66869475944657, -39.63812569408468, 1.111020655830407, 0.19596387810733978, 0.09799582187590113, 0.001137482808914173]","[2040.2429221054683, -65.55231931602991, 1.22616690702789, 0.23755027409148008, 0.1316848726388373, -0.042867599140684894]",16,378.4146974946769
637,2,"[1282.0725938607004, -28.177324186749953, 1.9578683807225739, 0.2276342698907042, 0.4054278200130704, -0.04130786369869716]","[2040.2429221054683, -65.55231931602991, 1.22616690702789, 0.23755027409148008, 0.1316848726388373, -0.042867599140684894]",5,378.4146974946769
637,3,"[1745.4922088175654, -56.26576990738232, 1.0871314835851833, 0.18629325503300428, 0.006462949994651365, -0.0040129053973155205]","[2040.2429221054683, -65.55231931602991, 1.22616690702789, 0.23755027409148008, 0.1316848726388373, -0.042867599140684894]",10,378.4146974946769
638,0,"[0, 0, 1, 0, 0, 0]","[1721.6883049485245, 34.11425531739484, 1.017368209588318, 0.19935127600892882, 0.04533161701606348, -0.011542400079131647]",17,378.4146974946769
638,1,"[655.0868653830964, 3.8401093690403183, 1.794324541335041, 0.24358221117410292, -0.3824563128398964, -0.03641893367274142]","[1721.6883049485245, 34.11425531739484, 1.017368209588318, 0.19935127600892882, 0.04533161701606348, -0.011542400079131647]",16,378.4146974946769
638,2,"[1526.5271760455112, 41.18791807122108, 1.6138493071825077, 0.23146475583509193, 0.18031608139288513, -0.04311102978159019]","[1721.6883049485245, 34.11425531739484, 1.017368209588318, 0.19935127600892882, 0.04533161701606348, -0.011542400079131647]",5,378.4146974946769
639,0,"[0, 0, 1, 0, 0, 0]","[2167.2271051132116, -10.315046653972304, 1.5413582278163966, -0.002651556254209766, 0.404495851723808, 0.029362593951367293]",11,378.4146974946769
639,1,"[583.5206628010139, -39.835453272202415, 1.9448547861504741, 0.2518164673418514, 0.13714594843017514, -0.03187867743171505]","[2167.2271051132116, -10.315046653972304, 1.5413582278163966, -0.002651556254209766, 0.404495851723808, 0.029362593951367293]",16,378.4146974946769
