id_camino,id_in_seq,initial state,current_state,goal_state,out_action,timesteps
3,12,"[8.649580304369456, -3.001896757779773, 5.959974879726456, 0.5113861679941201, -0.03209535501533363]","[8.850663551861407, -3.028060183580572, 0, 0, 0, 0]",[],6.306911624911282
4,0,"[0, 0, 2.29090902170582, 0.3664362706870686, 0.1586087965631814, 0]","[0.0, 0.0, 2.29090902170582, 0.3664362706870686, 0.1586087965631814]","[16.31557013267041, -7.596330448711682, 0, 0, 0, 0]","[-0.08727, 0.06342248374308349]",6.306911624911282
4,1,"[0, 0, 2.29090902170582, 0.3664362706870686, 0.1586087965631814, 0]","[0.42970347029656375, -0.06899856375427571, 1.911559050865105, 0.9201681003686858, 0.14387223812670033]","[16.31557013267041, -7.596330448711682, 0, 0, 0, 0]","[-0.06981, 0.06342248374308349]",6.306911624911282
4,2,"[0, 0, 2.29090902170582, 0.3664362706870686, 0.1586087965631814, 0]","[0.7953973293966766, -0.2181697733173658, 1.7014707107561184, 0.9963159491064915, 0.03735463089309069]","[16.31557013267041, -7.596330448711682, 0, 0, 0, 0]","[-0.01745, 0.06342248374308349]",6.306911624911282
4,3,"[0, 0, 2.29090902170582, 0.3664362706870686, 0.1586087965631814, 0]","[1.1310118036665833, -0.4241128147202076, 1.9513960436508122, 0.8944187245469131, -0.20893581075628462]","[16.31557013267041, -7.596330448711682, 0, 0, 0, 0]","[-0.0, 0.19026745122925046]",6.306911624911282
4,4,"[0, 0, 2.29090902170582, 0.3664362706870686, 0.1586087965631814, 0]","[1.413045151218285, -0.6821621778835887, 1.4014781965797996, 0.4309634362305931, -0.2749866015364175]","[16.31557013267041, -7.596330448711682, 0, 0, 0, 0]","[-0.0, 0.06342248374308349]",6.306911624911282
4,5,"[0, 0, 2.29090902170582, 0.3664362706870686, 0.1586087965631814, 0]","[1.6749183214776324, -0.9010256666301231, 1.6402837970142299, 1.0742498364035546, -0.17062679120463572]","[16.31557013267041, -7.596330448711682, 0, 0, 0, 0]","[-0.0, 0.09513372561462523]",6.306911624911282
4,6,"[0, 0, 2.29090902170582, 0.3664362706870686, 0.1586087965631814, 0]","[1.973657574171462, -1.156541806120106, 1.9415335629262052, 1.2853842265118827, -0.2197576345347749]","[16.31557013267041, -7.596330448711682, 0, 0, 0, 0]","[-0.10472, 0.19026745122925046]",6.306911624911282
4,7,"[0, 0, 2.29090902170582, 0.3664362706870686, 0.1586087965631814, 0]","[2.260586803668794, -1.4572115035765612, 1.7145989454685744, 0.467495870859508, -0.350075424489139]","[16.31557013267041, -7.596330448711682, 0, 0, 0, 0]","[-0.10472, 0.0]",6.306911624911282
4,8,"[0, 0, 2.29090902170582, 0.3664362706870686, 0.1586087965631814, 0]","[2.5818655425234183, -1.8139533595941173, 2.808766231313539, 1.357846899180062, -0.4855104280947135]","[16.31557013267041, -7.596330448711682, 0, 0, 0, 0]","[-0.10472, 0.0]",6.306911624911282
4,9,"[0, 0, 2.29090902170582, 0.3664362706870686, 0.1586087965631814, 0]","[3.026769962575632, -2.4364494246837163, 4.512605612102982, 0.7325458853404844, -0.7695284686857178]","[16.31557013267041, -7.596330448711682, 0, 0, 0, 0]","[-0.0, 0.0]",6.306911624911282
4,10,"[0, 0, 2.29090902170582, 0.3664362706870686, 0.1586087965631814, 0]","[3.6673969161700817, -3.2673686220595837, 5.980055709256609, 0.3015219836211217, -0.8748282248281875]","[16.31557013267041, -7.596330448711682, 0, 0, 0, 0]","[-0.0, 0.0]",6.306911624911282
4,11,"[0, 0, 2.29090902170582, 0.3664362706870686, 0.1586087965631814, 0]","[4.446796541584087, -4.348101584016499, 7.411505035535248, 0.2235314726852683, -0.9338871141670707]","[16.31557013267041, -7.596330448711682, 0, 0, 0, 0]","[-0.0, 0.0]",6.306911624911282
4,12,"[0, 0, 2.29090902170582, 0.3664362706870686, 0.1586087965631814, 0]","[5.345284339801208, -5.689527300485907, 8.81863650589745, 0.17839575581707293, -0.9749317068196465]","[16.31557013267041, -7.596330448711682, 0, 0, 0, 0]","[-0.10472, 0.06342248374308349]",6.306911624911282
4,13,"[0, 0, 2.29090902170582, 0.3664362706870686, 0.1586087965631814, 0]","[6.5311484811218685, -7.119709455278036, 9.85890351895508, 0.49235630358050053, -0.6568388645962016]","[16.31557013267041, -7.596330448711682, 0, 0, 0, 0]","[-0.10472, 0.06342248374308349]",6.306911624911282
4,14,"[0, 0, 2.29090902170582, 0.3664362706870686, 0.1586087965631814, 0]","[8.239032958142161, -8.157732939543077, 10.251581703676829, 0.5519082389364651, -0.3072634660580687]","[16.31557013267041, -7.596330448711682, 0, 0, 0, 0]","[-0.08727, 0.0]",6.306911624911282
4,15,"[0, 0, 2.29090902170582, 0.3664362706870686, 0.1586087965631814, 0]","[10.220491081791032, -8.692201440728132, 10.313061724946072, 0.8132800227212101, -0.08254196968469542]","[16.31557013267041, -7.596330448711682, 0, 0, 0, 0]","[-0.10472, 0.0]",6.306911624911282
4,16,"[0, 0, 2.29090902170582, 0.3664362706870686, 0.1586087965631814, 0]","[12.242209918328154, -8.786203699955095, 9.94411099352278, 0.9105243524066698, 0.16681537600799828]","[16.31557013267041, -7.596330448711682, 0, 0, 0, 0]","[-0.06981, 0.06342248374308349]",6.306911624911282
4,17,"[0, 0, 2.29090902170582, 0.3664362706870686, 0.1586087965631814, 0]","[14.095304346991949, -8.402172901277236, 9.110017460054618, 0.350395135268166, 0.37128416513433626]","[16.31557013267041, -7.596330448711682, 0, 0, 0, 0]","[-0.03491, 0.0]",6.306911624911282
4,18,"[0, 0, 2.29090902170582, 0.3664362706870686, 0.1586087965631814, 0]","[15.710623372660866, -7.812198980280106, 8.167522384762442, 0.4739675824660232, 0.419783275124442]","[16.31557013267041, -7.596330448711682, 0, 0, 0, 0]","[-0.10472, 0.06342248374308349]",6.306911624911282
4,19,"[16.313997836416547, -7.570716458491755, 7.673839388499825, 0.5166707667147056, 0.49027949101728785]","[16.31557013267041, -7.596330448711682, 0, 0, 0, 0]",[],6.306911624911282
5,0,"[0, 0, 3.1047612661886066, 0.26869718480360216, 0.0863284908741736, 0]","[0.0, 0.0, 3.1047612661886066, 0.26869718480360216, 0.0863284908741736]","[17.37987024652628, -7.13675425743331, 0, 0, 0, 0]","[-0.0, 0.0]",6.306911624911282
5,1,"[0, 0, 3.1047612661886066, 0.26869718480360216, 0.0863284908741736, 0]","[0.6224658478172601, -0.11093816530897144, 3.2364544560338304, 0.9012711956419209, -0.050579674384913634]","[17.37987024652628, -7.13675425743331, 0, 0, 0, 0]","[-0.10472, 0.0]",6.306911624911282
5,2,"[0, 0, 3.1047612661886066, 0.26869718480360216, 0.0863284908741736, 0]","[1.2867704228598782, -0.4171655850214714, 3.9276090885657053, 1.0041250608325234, -0.2512604813482615]","[17.37987024652628, -7.13675425743331, 0, 0, 0, 0]","[-0.0, 0.0]",6.306911624911282
5,3,"[0, 0, 3.1047612661886066, 0.26869718480360216, 0.0863284908741736, 0]","[2.053654234796418, -0.8607581055927696, 4.857562254766494, 0.5029081785058404, -0.45312020978798795]","[17.37987024652628, -7.13675425743331, 0, 0, 0, 0]","[-0.08727, 0.0]",6.306911624911282
5,4,"[0, 0, 3.1047612661886066, 0.26869718480360216, 0.0863284908741736, 0]","[2.9459009103946183, -1.4380733679486168, 5.75105346217698, 0.7051600172984845, -0.438772007540861]","[17.37987024652628, -7.13675425743331, 0, 0, 0, 0]","[-0.0, 0.0]",6.306911624911282
5,5,"[0, 0, 3.1047612661886066, 0.26869718480360216, 0.0863284908741736, 0]","[3.9956274156462963, -2.0920510920892217, 6.6513417288775205, 0.3525897727739727, -0.5276872801711024]","[17.37987024652628, -7.13675425743331, 0, 0, 0, 0]","[-0.05236, 0.0]",6.306911624911282
5,6,"[0, 0, 3.1047612661886066, 0.26869718480360216, 0.0863284908741736, 0]","[5.173086375869777, -2.874810028138778, 7.5260845172445245, 0.5482603864542538, -0.49730669710207265]","[17.37987024652628, -7.13675425743331, 0, 0, 0, 0]","[-0.0, 0.0]",6.306911624911282
5,7,"[0, 0, 3.1047612661886066, 0.26869718480360216, 0.0863284908741736, 0]","[6.503588505796186, -3.731365342154092, 8.37523502977474, 0.27491649291692716, -0.56063578706949]","[17.37987024652628, -7.13675425743331, 0, 0, 0, 0]","[-0.10472, 0.0]",6.306911624911282
5,8,"[0, 0, 3.1047612661886066, 0.26869718480360216, 0.0863284908741736, 0]","[7.989729789137678, -4.6345314489964435, 9.028948188166543, 0.8489194940100713, -0.35920825982104937]","[17.37987024652628, -7.13675425743331, 0, 0, 0, 0]","[-0.0, 0.0]",6.306911624911282
5,9,"[0, 0, 3.1047612661886066, 0.26869718480360216, 0.0863284908741736, 0]","[9.677007530346712, -5.396956170483949, 9.566047220648027, 0.25964100273707547, -0.41430906360534997]","[17.37987024652628, -7.13675425743331, 0, 0, 0, 0]","[-0.03491, 0.0]",6.306911624911282
5,10,"[0, 0, 3.1047612661886066, 0.26869718480360216, 0.0863284908741736, 0]","[11.447729005075905, -6.222734554501509, 10.055191224816696, 0.46636072740651474, -0.36811858406379916]","[17.37987024652628, -7.13675425743331, 0, 0, 0, 0]","[-0.10472, 0.0]",6.306911624911282
5,11,"[0, 0, 3.1047612661886066, 0.26869718480360216, 0.0863284908741736, 0]","[13.364920991696327, -6.871527131121408, 10.213354812647717, 0.9169021808319309, -0.11689129481407146]","[17.37987024652628, -7.13675425743331, 0, 0, 0, 0]","[-0.06981, 0.0]",6.306911624911282
5,12,"[0, 0, 3.1047612661886066, 0.26869718480360216, 0.0863284908741736, 0]","[15.374715625694858, -7.101138882490578, 10.047274888323383, 0.7004701462366478, 0.031885426163714314]","[17.37987024652628, -7.13675425743331, 0, 0, 0, 0]","[-0.10472, 0.03171124187154174]",6.306911624911282
5,13,"[17.294020207435462, -6.9695410398706334, 9.226791560996956, 0.6404869539368716, 0.26993917817225843]","[17.37987024652628, -7.13675425743331, 0, 0, 0, 0]",[],6.306911624911282
6,0,"[0, 0, 2.7719073208111795, 0.8284074350900653, 0.29040900973687256, 0]","[0.0, 0.0, 2.7719073208111795, 0.8284074350900653, 0.29040900973687256]","[8.325993406210712, -7.131019594509098, 0, 0, 0, 0]","[-0.10472, 0.06342248374308349]",6.306911624911282
6,1,"[0, 0, 2.7719073208111795, 0.8284074350900653, 0.29040900973687256, 0]","[0.5095996620360781, -0.023441394918668465, 2.146191706675411, 0.886036162914815, 0.2583119646389833]","[8.325993406210712, -7.131019594509098, 0, 0, 0, 0]","[-0.01745, 0.06342248374308349]",6.306911624911282
6,2,"[0, 0, 2.7719073208111795, 0.8284074350900653, 0.29040900973687256, 0]","[0.9128404855198935, -0.11637441006647431, 1.7515939509101444, 0.9256072798861347, 0.1245550865594903]","[8.325993406210712, -7.131019594509098, 0, 0, 0, 0]","[-0.08727, 0.06342248374308349]",6.306911624911282
6,3,"[0, 0, 2.7719073208111795, 0.8284074350900653, 0.29040900973687256, 0]","[1.2526220979866216, -0.28717741204979746, 1.704669455728923, 0.9988156607489389, -0.04358223606931254]","[8.325993406210712, -7.131019594509098, 0, 0, 0, 0]","[-0.10472, 0.09513372561462523]",6.306911624911282
