id_camino,id_in_seq,current_state,goal_state,out_action,timesteps
367,0,"[0, 0, 1, 0, 0, 0]","[1879.6697636614738, -260.88516300469, 0.9427569798312861, 0.202327263753878, 0.37203100799390926, -0.02419643574744398]",3,378.4146974946769
367,1,"[559.5548653512201, -64.43389144133145, 1.5469528870308702, 0.14278518106604685, -0.026724926328013165, 0.0011418132414958686]","[1879.6697636614738, -260.88516300469, 0.9427569798312861, 0.202327263753878, 0.37203100799390926, -0.02419643574744398]",1,378.4146974946769
367,2,"[1439.3956987597937, -257.7995884488589, 2.4887339223921363, 0.08608616240448101, -0.16989056710030964, 0.0005147215276371034]","[1879.6697636614738, -260.88516300469, 0.9427569798312861, 0.202327263753878, 0.37203100799390926, -0.02419643574744398]",12,378.4146974946769
368,0,"[0, 0, 1, 0, 0, 0]","[2017.5645947912071, 168.36295854175998, 2.132805406228008, 0.147103485034043, 0.1751995693931849, -0.011717161187541866]",18,378.4146974946769
368,1,"[594.1619586397131, -22.682788913521126, 2.2158436295201587, 0.25147771347201087, 0.1895411531924279, -0.039919798955651065]","[2017.5645947912071, 168.36295854175998, 2.132805406228008, 0.147103485034043, 0.1751995693931849, -0.011717161187541866]",23,378.4146974946769
368,2,"[1458.3951496089337, 87.75065128085583, 2.3344146089033457, 0.21043457956015874, 0.24125083667996572, -0.054955600216025795]","[2017.5645947912071, 168.36295854175998, 2.132805406228008, 0.147103485034043, 0.1751995693931849, -0.011717161187541866]",23,378.4146974946769
369,0,"[0, 0, 1, 0, 0, 0]","[1941.5319724445853, 126.73219967343609, 2.029745563102818, 0.06386807177913463, 0.39191680139278007, 0.004235095381528034]",11,378.4146974946769
369,1,"[582.6762905103254, -39.725348703805835, 1.8589769037939017, 0.2323158378682952, 0.10250077511708659, -0.036844669189727376]","[1941.5319724445853, 126.73219967343609, 2.029745563102818, 0.06386807177913463, 0.39191680139278007, 0.004235095381528034]",23,378.4146974946769
369,2,"[1458.6250921587878, 64.84021456666486, 2.077693024514397, 0.20611120978457517, 0.3452844020395688, -0.056585802821621685]","[1941.5319724445853, 126.73219967343609, 2.029745563102818, 0.06386807177913463, 0.39191680139278007, 0.004235095381528034]",23,378.4146974946769
370,0,"[0, 0, 1, 0, 0, 0]","[1983.87133420598, 161.7542086836892, 2.203331810086772, 0.1765728808944125, 0.21055101559594386, -0.029410259350849205]",18,378.4146974946769
370,1,"[594.1619586397131, -22.682788913521126, 2.2158436295201587, 0.25147771347201087, 0.1895411531924279, -0.039919798955651065]","[1983.87133420598, 161.7542086836892, 2.203331810086772, 0.1765728808944125, 0.21055101559594386, -0.029410259350849205]",23,378.4146974946769
370,2,"[1458.3951496089337, 87.75065128085583, 2.3344146089033457, 0.21043457956015874, 0.24125083667996572, -0.054955600216025795]","[1983.87133420598, 161.7542086836892, 2.203331810086772, 0.1765728808944125, 0.21055101559594386, -0.029410259350849205]",23,378.4146974946769
371,0,"[0, 0, 1, 0, 0, 0]","[1838.290048275646, -11.915892087271558, 1.4434622571148743, 0.16083313752189035, -0.030044530321540853, 0.003653045361050075]",10,378.4146974946769
371,1,"[660.1896135062101, -31.66802434354193, 1.7955340110872278, 0.21386291704626426, -0.1603392087354703, -0.04365342539118546]","[1838.290048275646, -11.915892087271558, 1.4434622571148743, 0.16083313752189035, -0.030044530321540853, 0.003653045361050075]",16,378.4146974946769
371,2,"[1525.2841658420925, 7.0702736880989345, 1.9036724382795494, 0.20681658873042053, 0.1683269390354092, -0.05641658604455029]","[1838.290048275646, -11.915892087271558, 1.4434622571148743, 0.16083313752189035, -0.030044530321540853, 0.003653045361050075]",4,378.4146974946769
372,0,"[0, 0, 1, 0, 0, 0]","[2058.2081171428567, -503.7428185713145, 2.4833916838387298, 0.08623419747159451, -0.1598513163638639, 0.0004597955364444489]",20,378.4146974946769
372,1,"[475.7263505971204, -23.4968915086083, 0.8835992900346865, 0.28584561686152615, 0.011800634369868227, -0.06944515422534021]","[2058.2081171428567, -503.7428185713145, 2.4833916838387298, 0.08623419747159451, -0.1598513163638639, 0.0004597955364444489]",7,378.4146974946769
372,2,"[597.6863090247822, -164.89824203610226, 4.3620811974882985, 0.14488255136019598, -1.0082380987414572, -0.057335392828997155]","[2058.2081171428567, -503.7428185713145, 2.4833916838387298, 0.08623419747159451, -0.1598513163638639, 0.0004597955364444489]",1,378.4146974946769
372,3,"[1598.689041513774, -422.5234688966301, 2.5023370389875788, 0.08651247758054471, -0.08574287571401379, 0.0005314239675281558]","[2058.2081171428567, -503.7428185713145, 2.4833916838387298, 0.08623419747159451, -0.1598513163638639, 0.0004597955364444489]",1,378.4146974946769
373,0,"[0, 0, 1, 0, 0, 0]","[1718.125252899629, 119.77027811109514, 2.42551221675533, 0.22823427699479057, 0.07113984691982943, -0.06071200949812457]",18,378.4146974946769
373,1,"[594.1619586397131, -22.682788913521126, 2.2158436295201587, 0.25147771347201087, 0.1895411531924279, -0.039919798955651065]","[1718.125252899629, 119.77027811109514, 2.42551221675533, 0.22823427699479057, 0.07113984691982943, -0.06071200949812457]",23,378.4146974946769
373,2,"[1458.3951496089337, 87.75065128085583, 2.3344146089033457, 0.21043457956015874, 0.24125083667996572, -0.054955600216025795]","[1718.125252899629, 119.77027811109514, 2.42551221675533, 0.22823427699479057, 0.07113984691982943, -0.06071200949812457]",23,378.4146974946769
374,0,"[0, 0, 1, 0, 0, 0]","[1636.5708472512267, -218.91057395422683, 1.144040933077886, 0.054116214781970505, 0.14910622084620528, 0.015463775983146643]",3,378.4146974946769
374,1,"[559.5548653512201, -64.43389144133145, 1.5469528870308702, 0.14278518106604685, -0.026724926328013165, 0.0011418132414958686]","[1636.5708472512267, -218.91057395422683, 1.144040933077886, 0.054116214781970505, 0.14910622084620528, 0.015463775983146643]",1,378.4146974946769
374,2,"[1439.3956987597937, -257.7995884488589, 2.4887339223921363, 0.08608616240448101, -0.16989056710030964, 0.0005147215276371034]","[1636.5708472512267, -218.91057395422683, 1.144040933077886, 0.054116214781970505, 0.14910622084620528, 0.015463775983146643]",17,378.4146974946769
375,0,"[0, 0, 1, 0, 0, 0]","[1813.5950339297744, -234.42568225331448, 1.3766897842200583, 0.09873642593833108, 0.043308493376822355, -0.00015520011345800425]",5,378.4146974946769
375,1,"[449.21176849063545, -42.10344607264775, 1.163934494883552, 0.18253539385567596, 0.05752902384461152, -0.0006674080431381201]","[1813.5950339297744, -234.42568225331448, 1.3766897842200583, 0.09873642593833108, 0.043308493376822355, -0.00015520011345800425]",1,378.4146974946769
375,2,"[1321.1209186392734, -251.28966783478793, 2.5191112570999192, 0.08566718852837182, -0.1802389837490648, 0.0007612959963471573]","[1813.5950339297744, -234.42568225331448, 1.3766897842200583, 0.09873642593833108, 0.043308493376822355, -0.00015520011345800425]",10,378.4146974946769
376,0,"[0, 0, 1, 0, 0, 0]","[1708.8813001872509, -346.84153437695693, 2.9161861687113166, 0.08203552973032616, -0.25190560651112376, 0.003674825794704538]",1,378.4146974946769
376,1,"[871.6584082737479, -218.96540110494502, 2.5382788578932645, 0.08544384351349288, -0.18326253989865432, 0.0009103407834252284]","[1708.8813001872509, -346.84153437695693, 2.9161861687113166, 0.08203552973032616, -0.25190560651112376, 0.003674825794704538]",3,378.4146974946769
376,2,"[1454.0628867548917, -254.11558638293218, 1.3933615508912391, 0.14705811253540485, 0.055047189967188354, -0.0022160928583758338]","[1708.8813001872509, -346.84153437695693, 2.9161861687113166, 0.08203552973032616, -0.25190560651112376, 0.003674825794704538]",1,378.4146974946769
377,0,"[0, 0, 1, 0, 0, 0]","[1716.2096161730067, -163.5115028219998, 1.138950940106046, 0.18356376338220956, 0.06231881296139665, -0.001588786933182382]",3,378.4146974946769
377,1,"[559.5548653512201, -64.43389144133145, 1.5469528870308702, 0.14278518106604685, -0.026724926328013165, 0.0011418132414958686]","[1716.2096161730067, -163.5115028219998, 1.138950940106046, 0.18356376338220956, 0.06231881296139665, -0.001588786933182382]",3,378.4146974946769
377,2,"[1124.3644028656402, -116.76327381860509, 1.4924470372333118, 0.14417270960644138, 0.007434920652117086, -1.944946186530516e-05]","[1716.2096161730067, -163.5115028219998, 1.138950940106046, 0.18356376338220956, 0.06231881296139665, -0.001588786933182382]",6,378.4146974946769
377,3,"[1556.476494663309, -148.74746214710154, 1.0846423410562929, 0.19974246006035445, 0.10858682873418765, -0.001621532507796273]","[1716.2096161730067, -163.5115028219998, 1.138950940106046, 0.18356376338220956, 0.06231881296139665, -0.001588786933182382]",5,378.4146974946769
378,0,"[0, 0, 1, 0, 0, 0]","[1789.5711200598766, -384.18801971539364, 1.2185979311454447, 0.19452732828653274, 0.02953057628069298, -0.04273311127121469]",20,378.4146974946769
378,1,"[475.7263505971204, -23.4968915086083, 0.8835992900346865, 0.28584561686152615, 0.011800634369868227, -0.06944515422534021]","[1789.5711200598766, -384.18801971539364, 1.2185979311454447, 0.19452732828653274, 0.02953057628069298, -0.04273311127121469]",7,378.4146974946769
378,2,"[597.6863090247822, -164.89824203610226, 4.3620811974882985, 0.14488255136019598, -1.0082380987414572, -0.057335392828997155]","[1789.5711200598766, -384.18801971539364, 1.2185979311454447, 0.19452732828653274, 0.02953057628069298, -0.04273311127121469]",1,378.4146974946769
378,3,"[1598.689041513774, -422.5234688966301, 2.5023370389875788, 0.08651247758054471, -0.08574287571401379, 0.0005314239675281558]","[1789.5711200598766, -384.18801971539364, 1.2185979311454447, 0.19452732828653274, 0.02953057628069298, -0.04273311127121469]",17,378.4146974946769
379,0,"[0, 0, 1, 0, 0, 0]","[2036.5979202764756, 98.97093259949467, 1.9808919599217836, 0.1625063538497327, -0.06362273175388213, -0.022986645804075657]",11,378.4146974946769
379,1,"[582.6762905103254, -39.725348703805835, 1.8589769037939017, 0.2323158378682952, 0.10250077511708659, -0.036844669189727376]","[2036.5979202764756, 98.97093259949467, 1.9808919599217836, 0.1625063538497327, -0.06362273175388213, -0.022986645804075657]",23,378.4146974946769
379,2,"[1458.6250921587878, 64.84021456666486, 2.077693024514397, 0.20611120978457517, 0.3452844020395688, -0.056585802821621685]","[2036.5979202764756, 98.97093259949467, 1.9808919599217836, 0.1625063538497327, -0.06362273175388213, -0.022986645804075657]",16,378.4146974946769
380,0,"[0, 0, 1, 0, 0, 0]","[1798.761810337938, -265.77124875088344, 0.978549628449147, 0.20807035176812497, 0.049542226645595606, -0.01611978655429535]",3,378.4146974946769
