id_camino,id_in_seq,initial_state,current_state,goal_state,out_action,timesteps
132,2,"[0, 0, 1.9089118968490262, -0.19168769551533094, -0.100081760614177, 0]","[0.6769767930388407, -0.31810462380015403, 0.6669281524711298, 0.33131296872096877, 0.027228587279299346, 0.10484832363302185]","[11.467154691384717, -8.122235883038321, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.0]",6.306911625
132,3,"[0, 0, 1.9089118968490262, -0.19168769551533094, -0.100081760614177, 0]","[0.7777301372420726, -0.45534012043067096, 0.004170732970390558, 1.7856812271953624, 0.45234139749545293, 0.08249883091972285]","[11.467154691384717, -8.122235883038321, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.03171124187154174]",6.306911625
132,4,"[0, 0, 1.9089118968490262, -0.19168769551533094, -0.100081760614177, 0]","[0.8203689112651731, -0.5265651473922612, 0.0006178322795628464, 1.2651112670256341, 0.5985053887780458, 0.08281374476773344]","[11.467154691384717, -8.122235883038321, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.0]",6.306911625
132,5,"[0, 0, 1.9089118968490262, -0.19168769551533094, -0.100081760614177, 0]","[0.9993944488401549, -0.9028492253809022, -1.8005237373068335, 2.3125757095139705, 1.091370486489731, 0.08727227630429989]","[11.467154691384717, -8.122235883038321, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.03171124187154174]",6.306911625
132,6,"[0, 0, 1.9089118968490262, -0.19168769551533094, -0.100081760614177, 0]","[1.113749159589862, -1.0721141057553385, -0.4074768419686003, 0.5635868742419774, 1.0633359505253186, -0.04416175632893442]","[11.467154691384717, -8.122235883038321, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.0]",6.306911625
132,7,"[0, 0, 1.9089118968490262, -0.19168769551533094, -0.100081760614177, 0]","[1.194912946796227, -1.381564578541482, -1.3636552606633443, 2.1189988264464352, 0.8294568095679415, -0.02588919964421226]","[11.467154691384717, -8.122235883038321, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.06342248374308349]",6.306911625
132,8,"[0, 0, 1.9089118968490262, -0.19168769551533094, -0.100081760614177, 0]","[1.293377248983664, -1.5689137888125233, 0.0348971194913516, 1.0269169814435297, 0.39610482645191475, -0.07450619849690719]","[11.467154691384717, -8.122235883038321, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.03171124187154174]",6.306911625
132,9,"[0, 0, 1.9089118968490262, -0.19168769551533094, -0.100081760614177, 0]","[1.391081464742901, -1.7670520103913385, 0.6106914895334167, 1.0889120900521447, -0.024183092171186627, -0.056336854799908374]","[11.467154691384717, -8.122235883038321, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.12684496748616697]",6.306911625
132,10,"[0, 0, 1.9089118968490262, -0.19168769551533094, -0.100081760614177, 0]","[1.4623915149474156, -1.9791414169528199, 0.47410195826729795, 1.7140447011780273, -0.024616564510686934, -0.0032047460671103716]","[11.467154691384717, -8.122235883038321, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.09513372561462523]",6.306911625
132,11,"[0, 0, 1.9089118968490262, -0.19168769551533094, -0.100081760614177, 0]","[1.5884094863877745, -2.224661762450617, 0.527805201503338, 1.6102285330658297, 0.14342729624939274, 0.02595520474488108]","[11.467154691384717, -8.122235883038321, 0, 0, 0.5235987755982988, 0]","[-0.0, 0.0]",6.306911625
